Pathway_1,Pathway_2,Type_I CrossTalk score (obs),Type_II CrossTalk score (obs),Type_II CrossTalk (z-score),Type_II CrossTalk (p-value),Type_I CrossTalk size,Type_I CrossTalk points
Cellular senescence,Oocyte meiosis,0.321428571428571,0.675675675675676,-10.1351971970072,1.92797385171639e-24,9,CALML6;PPP3R1;PPP3R2;CDK2;ITPR1;PPP3CA;PPP3CB;PPP3CC;MAPK1
Cellular senescence,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.307692307692308,0.794117647058823,-5.16694750348259,1.18974030022116e-07,8,AKT1;PIK3R1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;MAPK1
Cellular senescence,Ribosome,0,2.38888888888889,,,0,""
Cellular senescence,Shigellosis,0.179487179487179,1.02173913043478,-24.7487373415292,1.59943190617128e-135,7,TP53;PPID;AKT1;PIK3R1;ITPR1;VDAC1;MAPK1
Cellular senescence,Small cell lung cancer,0.230769230769231,0.9375,-4.37522320859176,6.06541414832575e-06,6,TP53;RB1;CCND1;AKT1;PIK3R1;CDK2
Cellular senescence,Tuberculosis,0.275862068965517,0.783783783783784,,,8,CALML6;AKT1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;MAPK1
Cellular senescence,Ubiquitin mediated proteolysis,0,Inf,,,0,""
Chronic myeloid leukemia,Colorectal cancer,0.470588235294118,0.4,-2.69771274816092,0.00349088283462718,8,BAX;TP53;CCND1;AKT1;SMAD4;PIK3R1;GRB2;MAPK1
Chronic myeloid leukemia,Glioma,0.571428571428571,0.363636363636364,-4.1242256759158,1.85992019538205e-05,8,BAX;TP53;RB1;CCND1;AKT1;PIK3R1;GRB2;MAPK1
Chronic myeloid leukemia,Glucagon signaling pathway,0.0384615384615385,1.53846153846154,-5.26197643662197,7.12575174108448e-08,1,AKT1
Chronic myeloid leukemia,Hepatitis B,0.363636363636364,0.533333333333333,-39.8965359429475,0,8,BAX;TP53;RB1;AKT1;SMAD4;PIK3R1;GRB2;MAPK1
Chronic myeloid leukemia,Human cytomegalovirus infection,0.36,0.705882352941177,,,9,BAX;TP53;RB1;CCND1;AKT1;PIK3R1;CRK;GRB2;MAPK1
Chronic myeloid leukemia,Human immunodeficiency virus 1 infection,0.15625,1.13513513513514,-5.70685169866719,5.75424851604514e-09,5,BAX;AKT1;PIK3R1;CRK;MAPK1
Chronic myeloid leukemia,Kaposi sarcoma-associated herpesvirus infection,0.25,0.914285714285714,-5.18544972870135,1.07747105714273e-07,7,BAX;TP53;RB1;CCND1;AKT1;PIK3R1;MAPK1
Chronic myeloid leukemia,Lipid and atherosclerosis,0.161290322580645,1.02777777777778,-3.53946227693933,0.000200471534414435,5,BAX;TP53;AKT1;PIK3R1;MAPK1
Chronic myeloid leukemia,Neurotrophin signaling pathway,0.444444444444444,0.5,-33.9411254969542,8.24491291576847e-253,8,PTPN11;BAX;TP53;AKT1;PIK3R1;CRK;GRB2;MAPK1
Chronic myeloid leukemia,Oocyte meiosis,0.0344827586206897,1.4,-2.02703943940144,0.0213291897186542,1,MAPK1
Chronic myeloid leukemia,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.173913043478261,1.03703703703704,-9.06382328611847,6.29781982215264e-20,4,PTPN11;AKT1;PIK3R1;MAPK1
Chronic myeloid leukemia,Ribosome,0,2.27586206896552,93.1023928562296,1,0,""
Chronic myeloid leukemia,Shigellosis,0.181818181818182,0.948717948717949,-156.002260684239,0,6,BAX;TP53;AKT1;PIK3R1;CRK;MAPK1
Chronic myeloid leukemia,Small cell lung cancer,0.315789473684211,0.64,NaN,NaN,6,BAX;TP53;RB1;CCND1;AKT1;PIK3R1
Chronic myeloid leukemia,Tuberculosis,0.111111111111111,1.23333333333333,-Inf,0,3,BAX;AKT1;MAPK1
Chronic myeloid leukemia,Ubiquitin mediated proteolysis,0,Inf,Inf,1,0,""
Colorectal cancer,Glioma,0.470588235294118,0.48,-Inf,0,8,BAX;TP53;EGFR;CCND1;AKT1;PIK3R1;GRB2;MAPK1
Colorectal cancer,Glucagon signaling pathway,0.0344827586206897,1.44827586206897,-10.6066017177982,1.38832469301504e-26,1,AKT1
Colorectal cancer,Hepatitis B,0.434782608695652,0.484848484848485,,,10,JUN;BCL2;BAX;TP53;AKT1;CASP3;SMAD4;PIK3R1;GRB2;MAPK1
Colorectal cancer,Human cytomegalovirus infection,0.321428571428571,0.756756756756757,-4.47978015641965,3.73599792926834e-06,9,BAX;TP53;EGFR;CCND1;AKT1;CASP3;PIK3R1;GRB2;MAPK1
Colorectal cancer,Human immunodeficiency virus 1 infection,0.212121212121212,1.025,-4.66448838373723,1.54692903695529e-06,7,JUN;BCL2;BAX;AKT1;CASP3;PIK3R1;MAPK1
Colorectal cancer,Kaposi sarcoma-associated herpesvirus infection,0.266666666666667,0.894736842105263,-8.00147147132146,6.14705374154888e-16,8,JUN;BAX;TP53;CCND1;AKT1;CASP3;PIK3R1;MAPK1
Colorectal cancer,Lipid and atherosclerosis,0.258064516129032,0.897435897435897,-23.4433094378002,7.73432049951714e-122,8,JUN;BCL2;BAX;TP53;AKT1;CASP3;PIK3R1;MAPK1
Colorectal cancer,Neurotrophin signaling pathway,0.380952380952381,0.586206896551724,-4.17891003302093,1.46454759957987e-05,8,JUN;BCL2;BAX;TP53;AKT1;PIK3R1;GRB2;MAPK1
Colorectal cancer,Oocyte meiosis,0.03125,1.3030303030303,-2.23123331472854,0.0128328391426476,1,MAPK1
Colorectal cancer,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.2,1,-8.90954544295049,2.56211084369797e-19,5,JUN;EGFR;AKT1;PIK3R1;MAPK1
Colorectal cancer,Ribosome,0,2.28125,8.58840111316161,1,0,""
Colorectal cancer,Shigellosis,0.235294117647059,0.833333333333333,-7.69960717292018,6.82425789978524e-15,8,JUN;BCL2;BAX;TP53;EGFR;AKT1;PIK3R1;MAPK1
Colorectal cancer,Small cell lung cancer,0.333333333333333,0.607142857142857,-6.21063430516654,2.63855758919559e-10,7,BCL2;BAX;TP53;CCND1;AKT1;CASP3;PIK3R1
Colorectal cancer,Tuberculosis,0.178571428571429,1.09090909090909,-11.5249222128457,4.94006971145853e-31,5,BCL2;BAX;AKT1;CASP3;MAPK1
Colorectal cancer,Ubiquitin mediated proteolysis,0,Inf,Inf,1,0,""
Glioma,Glucagon signaling pathway,0.125,1.07692307692308,-3.37235541796661,0.000372641024153747,3,CALML6;AKT1;CAMK2A
Glioma,Hepatitis B,0.304347826086957,0.666666666666667,-2.75999743624427,0.00289009075645458,7,BAX;TP53;RB1;AKT1;PIK3R1;GRB2;MAPK1
Glioma,Human cytomegalovirus infection,0.416666666666667,0.5,-8.57267659438523,5.05535712952872e-18,10,BAX;TP53;RB1;CALML6;EGFR;CCND1;AKT1;PIK3R1;GRB2;MAPK1
Glioma,Human immunodeficiency virus 1 infection,0.15625,1,-13.9441457249987,1.70756317618067e-44,5,BAX;CALML6;AKT1;PIK3R1;MAPK1
Glioma,Kaposi sarcoma-associated herpesvirus infection,0.296296296296296,0.685714285714286,-32.45400527267,2.37790007476527e-231,8,BAX;TP53;RB1;CALML6;CCND1;AKT1;PIK3R1;MAPK1
Glioma,Lipid and atherosclerosis,0.241379310344828,0.75,-10.5423192831449,2.75612224810147e-26,7,BAX;TP53;CALML6;AKT1;PIK3R1;CAMK2A;MAPK1
Glioma,Neurotrophin signaling pathway,0.444444444444444,0.423076923076923,-40.4274703936078,0,8,BAX;TP53;CALML6;AKT1;PIK3R1;GRB2;CAMK2A;MAPK1
Glioma,Oocyte meiosis,0.111111111111111,1,-41.7193000900067,0,3,CALML6;CAMK2A;MAPK1
Glioma,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.173913043478261,0.925925925925926,-4.45691546929703,4.15736851823753e-06,4,EGFR;AKT1;PIK3R1;MAPK1
Glioma,Ribosome,0,2.27586206896552,NaN,NaN,0,""
Glioma,Shigellosis,0.181818181818182,0.974358974358974,-3.38686017245249,0.000353487051021341,6,BAX;TP53;EGFR;AKT1;PIK3R1;MAPK1
Glioma,Small cell lung cancer,0.315789473684211,0.68,,,6,BAX;TP53;RB1;CCND1;AKT1;PIK3R1
Glioma,Tuberculosis,0.2,0.866666666666667,-8.46883703049005,1.23927581859587e-17,5,BAX;CALML6;AKT1;CAMK2A;MAPK1
Glioma,Ubiquitin mediated proteolysis,0,Inf,Inf,1,0,""
Glucagon signaling pathway,Hepatitis B,0.0606060606060606,1.47058823529412,-2.98094035206094,0.00143682379471584,2,ATF2;AKT1
Glucagon signaling pathway,Human cytomegalovirus infection,0.3,0.842105263157895,-32.4152634954465,8.36440626458248e-231,9,ATF2;CALML6;AKT1;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC
Glucagon signaling pathway,Human immunodeficiency virus 1 infection,0.235294117647059,1.09756097560976,-5.99388645360934,1.02442227227778e-09,8,CALML6;AKT1;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC
Glucagon signaling pathway,Kaposi sarcoma-associated herpesvirus infection,0.25,0.948717948717949,-50.2045814642451,0,8,CALML6;AKT1;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC
Glucagon signaling pathway,Lipid and atherosclerosis,0.28125,0.9,-5.46400694553241,2.32752654814054e-08,9,CALML6;AKT1;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC;CAMK2A
Glucagon signaling pathway,Neurotrophin signaling pathway,0.107142857142857,1.16666666666667,-17.0924777107507,8.44224216011215e-66,3,CALML6;AKT1;CAMK2A
Glucagon signaling pathway,Oocyte meiosis,0.296296296296296,1,-4.94974746830584,3.715491861707e-07,8,CALML6;PPP3R1;PPP3R2;ITPR1;PPP3CA;PPP3CB;PPP3CC;CAMK2A
Glucagon signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.230769230769231,1.03225806451613,-13.4502354399893,1.53446795177868e-41,6,AKT1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC
Glucagon signaling pathway,Ribosome,0,2.81818181818182,2.71057599454843,0.99664167724869,0,""
Glucagon signaling pathway,Shigellosis,0.0476190476190476,1.58139534883721,-19.9141002794629,1.53559930329546e-88,2,AKT1;ITPR1
Glucagon signaling pathway,Small cell lung cancer,0.0344827586206897,1.6551724137931,-14.8492424049176,3.51796404508536e-50,1,AKT1
Glucagon signaling pathway,Tuberculosis,0.296296296296296,0.911764705882353,-53.0330085889913,0,8,CALML6;AKT1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;CAMK2A
Glucagon signaling pathway,Ubiquitin mediated proteolysis,0,Inf,,,0,""
Hepatitis B,Human cytomegalovirus infection,0.272727272727273,0.785714285714286,-11.8692923984885,8.54535147736557e-33,9,BAX;TP53;ATF2;RB1;AKT1;PIK3R1;GRB2;CASP3;MAPK1
Hepatitis B,Human immunodeficiency virus 1 infection,0.25,0.911111111111111,-12.6650681252524,4.61700847352784e-37,9,BAX;AKT1;MYD88;PIK3R1;TRAF6;JUN;BCL2;CASP3;MAPK1
Hepatitis B,Kaposi sarcoma-associated herpesvirus infection,0.264705882352941,0.883720930232558,-45.7974973396401,0,9,BAX;TP53;RB1;AKT1;PIK3R1;JUN;CASP3;MAPK1;JAK2
Hepatitis B,Lipid and atherosclerosis,0.333333333333333,0.75,-4.3184021279607,7.85814436528831e-06,11,BAX;TP53;AKT1;MYD88;PIK3R1;TRAF6;JUN;BCL2;CASP3;MAPK1;JAK2
Hepatitis B,Neurotrophin signaling pathway,0.36,0.558823529411765,-20.5892856874906,1.71189617218817e-94,9,BAX;TP53;AKT1;PIK3R1;TRAF6;GRB2;JUN;BCL2;MAPK1
Hepatitis B,Oocyte meiosis,0.0857142857142857,1.21052631578947,-3.30133293381999,0.000481133115110541,3,CDK2;YWHAZ;MAPK1
Hepatitis B,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.25,0.942857142857143,-11.3137084989848,5.61214858649176e-30,7,AKT1;MYD88;PIK3R1;TRAF6;JUN;MAPK1;JAK2
Hepatitis B,Ribosome,0,2.27027027027027,,,0,""
Hepatitis B,Shigellosis,0.236842105263158,0.723404255319149,-19.4328991283537,2.03363903175112e-84,9,BAX;TP53;AKT1;MYD88;PIK3R1;TRAF6;JUN;BCL2;MAPK1
Hepatitis B,Small cell lung cancer,0.375,0.575757575757576,-14.6992500573931,3.25887686198426e-49,9,BAX;TP53;RB1;AKT1;PIK3R1;TRAF6;CDK2;BCL2;CASP3
Hepatitis B,Tuberculosis,0.266666666666667,0.973684210526316,-9.39204183481897,2.94240980859509e-21,8,BAX;AKT1;MYD88;TRAF6;BCL2;CASP3;MAPK1;JAK2
Hepatitis B,Ubiquitin mediated proteolysis,0.0285714285714286,Inf,,,1,TRAF6
Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,0.484848484848485,0.469387755102041,-5.66583338322173,7.31558237378049e-09,16,BAX;CALML6;AKT1;PIK3R1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;CXCR4;TRAF2;TRAF5;ITPR1;CASP3;CRK;MAPK1
Human cytomegalovirus infection,Kaposi sarcoma-associated herpesvirus infection,0.516129032258065,0.404255319148936,-6.87945918990606,3.00401029724369e-12,16,BAX;TP53;RB1;CALML6;AKT1;PIK3R1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;CCND1;TRAF2;ITPR1;CASP3;MAPK1
Human cytomegalovirus infection,Lipid and atherosclerosis,0.411764705882353,0.479166666666667,-37.476659402887,1.10545383213464e-307,14,BAX;TP53;CALML6;AKT1;PIK3R1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;TRAF2;ITPR1;CASP3;MAPK1
Human cytomegalovirus infection,Neurotrophin signaling pathway,0.266666666666667,0.657894736842105,-9.10015683613991,4.5100739573966e-20,8,BAX;TP53;CALML6;AKT1;PIK3R1;GRB2;CRK;MAPK1
Human cytomegalovirus infection,Oocyte meiosis,0.235294117647059,0.80952380952381,-7.17208306632069,3.69325490053909e-13,8,CALML6;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;ITPR1;MAPK1
Human cytomegalovirus infection,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.3,0.666666666666667,-16.4535384353515,3.95542359425172e-61,9,AKT1;PIK3R1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;EGFR;MAPK1
Human cytomegalovirus infection,Ribosome,0,2.4390243902439,5.54992590697149,0.999999985710465,0,""
Human cytomegalovirus infection,Shigellosis,0.24390243902439,0.862745098039216,,,10,BAX;TP53;AKT1;PIK3R1;EGFR;TRAF2;TRAF5;ITPR1;CRK;MAPK1
Human cytomegalovirus infection,Small cell lung cancer,0.321428571428571,0.756756756756757,,,9,BAX;TP53;RB1;AKT1;PIK3R1;CCND1;TRAF2;TRAF5;CASP3
Human cytomegalovirus infection,Tuberculosis,0.3125,0.69047619047619,-11.4142582453549,1.77459431395895e-30,10,BAX;CALML6;AKT1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;CASP3;MAPK1
Human cytomegalovirus infection,Ubiquitin mediated proteolysis,0,Inf,Inf,1,0,""
Human immunodeficiency virus 1 infection,Kaposi sarcoma-associated herpesvirus infection,0.388888888888889,0.64,-28.6558019291023,6.78626796878105e-181,14,BAX;CALML6;AKT1;PIK3R1;PPP3R1;PPP3R2;JUN;PPP3CA;PPP3CB;PPP3CC;TRAF2;ITPR1;CASP3;MAPK1
Human immunodeficiency virus 1 infection,Lipid and atherosclerosis,0.5,0.509803921568627,-5.6078261747751,1.0244182159425e-08,17,BAX;CALML6;AKT1;PIK3R1;PPP3R1;PPP3R2;JUN;PPP3CA;PPP3CB;PPP3CC;TRAF2;MYD88;TRAF6;BCL2;ITPR1;CASP3;MAPK1
Human immunodeficiency virus 1 infection,Neurotrophin signaling pathway,0.28125,0.780487804878049,-3.42674824728865,0.00030542755877436,9,BAX;CALML6;AKT1;PIK3R1;JUN;TRAF6;BCL2;CRK;MAPK1
Human immunodeficiency virus 1 infection,Oocyte meiosis,0.285714285714286,0.866666666666667,-5.77156648760254,3.92689790110039e-09,10,CALML6;PPP3R1;PPP3R2;SKP1;PPP3CA;PPP3CB;PPP3CC;CUL1;ITPR1;MAPK1
Human immunodeficiency virus 1 infection,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.4,0.595238095238095,-33.6549156093311,1.32108335753107e-248,12,AKT1;PIK3R1;PPP3R1;PPP3R2;JUN;PPP3CA;PPP3CB;PPP3CC;MYD88;TRAF6;CD247;MAPK1
Human immunodeficiency virus 1 infection,Ribosome,0,2.43181818181818,4.64285068350932,0.999998281826514,0,""
Human immunodeficiency virus 1 infection,Shigellosis,0.35,0.685185185185185,-6.26529496818778,1.86060165884219e-10,14,BAX;AKT1;PIK3R1;SKP1;JUN;TRAF2;MYD88;TRAF5;TRAF6;CUL1;BCL2;ITPR1;CRK;MAPK1
Human immunodeficiency virus 1 infection,Small cell lung cancer,0.25,0.975,-6.56599153958937,2.58438753722786e-11,8,BAX;AKT1;PIK3R1;TRAF2;TRAF5;TRAF6;BCL2;CASP3
Human immunodeficiency virus 1 infection,Tuberculosis,0.40625,0.666666666666667,-23.6487934596834,6.07270849186207e-124,13,BAX;CALML6;AKT1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;MYD88;TRAF6;BCL2;CASP3;MAPK1
Human immunodeficiency virus 1 infection,Ubiquitin mediated proteolysis,0.102564102564103,Inf,,,4,SKP1;TRAF6;CUL1;CUL4B
Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,0.484848484848485,0.489795918367347,-32.9388784940551,3.0522594771374e-238,16,BAX;TP53;CALML6;AKT1;PIK3R1;PPP3R1;PPP3R2;JUN;PPP3CA;PPP3CB;PPP3CC;JAK2;TRAF2;ITPR1;CASP3;MAPK1
Kaposi sarcoma-associated herpesvirus infection,Neurotrophin signaling pathway,0.21875,0.794871794871795,,,7,BAX;TP53;CALML6;AKT1;PIK3R1;JUN;MAPK1
Kaposi sarcoma-associated herpesvirus infection,Oocyte meiosis,0.228571428571429,0.86046511627907,-27.0545203236592,1.68963204800875e-161,8,CALML6;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;ITPR1;MAPK1
Kaposi sarcoma-associated herpesvirus infection,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.333333333333333,0.675,-5.87442556678055,2.1215603571693e-09,10,AKT1;PIK3R1;PPP3R1;PPP3R2;JUN;PPP3CA;PPP3CB;PPP3CC;JAK2;MAPK1
Kaposi sarcoma-associated herpesvirus infection,Ribosome,0,2.47619047619048,19.7204224530916,1,0,""
Kaposi sarcoma-associated herpesvirus infection,Shigellosis,0.3,0.730769230769231,-13.0361480941828,3.81055622136707e-39,12,BAX;TP53;AKT1;GABARAPL2;GABARAPL1;PIK3R1;GABARAP;JUN;TRAF2;UBC;ITPR1;MAPK1
Kaposi sarcoma-associated herpesvirus infection,Small cell lung cancer,0.266666666666667,0.921052631578947,-Inf,0,8,BAX;TP53;RB1;AKT1;PIK3R1;CCND1;TRAF2;CASP3
Kaposi sarcoma-associated herpesvirus infection,Tuberculosis,0.34375,0.697674418604651,-4.66690475583121,1.52885489821909e-06,11,BAX;CALML6;AKT1;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;JAK2;CASP3;MAPK1
Kaposi sarcoma-associated herpesvirus infection,Ubiquitin mediated proteolysis,0.025,Inf,Inf,1,1,UBC
Lipid and atherosclerosis,Neurotrophin signaling pathway,0.333333333333333,0.625,-59.0434162290765,0,10,BAX;TP53;CALML6;AKT1;PIK3R1;JUN;TRAF6;BCL2;CAMK2A;MAPK1
Lipid and atherosclerosis,Oocyte meiosis,0.257142857142857,0.909090909090909,,,9,CALML6;PPP3R1;PPP3R2;PPP3CA;PPP3CB;PPP3CC;ITPR1;CAMK2A;MAPK1
Lipid and atherosclerosis,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.413793103448276,0.560975609756098,,,12,AKT1;PIK3R1;PPP3R1;PPP3R2;JUN;PPP3CA;PPP3CB;PPP3CC;JAK2;MYD88;TRAF6;MAPK1
Lipid and atherosclerosis,Ribosome,0,2.41860465116279,,,0,""
Lipid and atherosclerosis,Shigellosis,0.292682926829268,0.811320754716981,-22.0957165501005,1.7375654040192e-108,12,BAX;TP53;AKT1;PIK3R1;CD14;JUN;TRAF2;MYD88;TRAF6;BCL2;ITPR1;MAPK1
Lipid and atherosclerosis,Small cell lung cancer,0.258064516129032,0.846153846153846,,,8,BAX;TP53;AKT1;PIK3R1;TRAF2;TRAF6;BCL2;CASP3
Lipid and atherosclerosis,Tuberculosis,0.62962962962963,0.272727272727273,-42.4264068711927,0,17,BAX;CALML6;AKT1;PPP3R1;PPP3R2;CD14;PPP3CA;PPP3CB;PPP3CC;JAK2;MYD88;TRAF6;BCL2;CASP3;CAMK2A;HSPD1;MAPK1
Lipid and atherosclerosis,Ubiquitin mediated proteolysis,0.024390243902439,Inf,,,1,TRAF6
Neurotrophin signaling pathway,Oocyte meiosis,0.133333333333333,1,-38.8908729652601,0,4,CALML6;YWHAE;CAMK2A;MAPK1
Neurotrophin signaling pathway,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.24,0.774193548387097,,,6,AKT1;PIK3R1;TRAF6;JUN;PTPN11;MAPK1
Neurotrophin signaling pathway,Ribosome,0,2.3030303030303,NaN,NaN,0,""
Neurotrophin signaling pathway,Shigellosis,0.264705882352941,0.813953488372093,-11.3137084989848,5.61214858649085e-30,9,BAX;TP53;AKT1;PIK3R1;TRAF6;JUN;BCL2;CRK;MAPK1
Neurotrophin signaling pathway,Small cell lung cancer,0.260869565217391,0.758620689655172,,,6,BAX;TP53;AKT1;PIK3R1;TRAF6;BCL2
Neurotrophin signaling pathway,Tuberculosis,0.259259259259259,0.794117647058823,,,7,BAX;CALML6;AKT1;TRAF6;BCL2;CAMK2A;MAPK1
Neurotrophin signaling pathway,Ubiquitin mediated proteolysis,0.032258064516129,Inf,Inf,1,1,TRAF6
